unit,category,use,translation,item,subcategory,amount,date,source
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1640,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,178,1641,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1642,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1643,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,60,1644,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,204,1645,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,456,1646,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1647,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1648,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1649,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1650,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1651,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1652,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1653,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1654,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1655,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1656,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1657,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1658,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1659,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1660,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1661,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1662,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,87,1663,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1664,
"Stoff (Solids)","Grain",,"millet/sorghum groats","Grütze Hirße",,0,1665,
